day_name_end,month_end,day_end,hour_end,return_for_next_hour
Friday,9,7,6,131
Friday,9,7,7,372
Friday,9,7,8,850
Friday,9,7,9,724
Friday,9,7,10,302
Friday,9,7,11,218
Friday,9,7,12,269
Friday,9,7,13,290
Friday,9,7,14,312
Friday,9,7,15,349
Friday,9,7,16,536
Friday,9,7,17,901
Friday,9,7,18,751
Friday,9,7,19,398
Friday,9,7,20,244
Friday,9,7,21,187
Friday,9,7,22,113
Friday,9,7,23,89
Friday,9,14,0,50
Friday,9,14,1,24
Friday,9,14,2,14
Friday,9,14,3,9
Friday,9,14,4,10
Friday,9,14,5,36
Friday,9,14,6,138
Friday,9,14,7,693
Friday,9,14,8,220
Friday,9,14,9,558
Friday,9,14,10,358
Friday,9,14,11,240
Friday,9,14,12,524
Friday,9,14,13,112
Friday,9,14,14,212
Friday,9,14,15,316
Friday,9,14,16,572
Friday,9,14,17,901
Friday,9,14,18,664
Friday,9,14,19,382
Friday,9,14,20,255
Friday,9,14,21,190
Friday,9,14,22,132
Friday,9,14,23,84
Friday,9,21,0,43
Friday,9,21,1,43
Friday,9,21,2,10
Friday,9,21,3,10
Friday,9,21,4,13
Friday,9,21,5,35
Friday,9,21,6,137
Friday,9,21,7,375
Friday,9,21,8,755
Friday,9,21,9,716
Friday,9,21,10,326
Friday,9,21,11,264
Friday,9,21,12,296
Friday,9,21,13,296
Friday,9,21,14,271
Friday,9,21,15,323
Friday,9,21,16,512
Friday,9,21,17,836
Friday,9,21,18,722
Friday,9,21,19,369
Friday,9,21,20,201
Friday,9,21,21,123
Friday,9,21,22,139
Friday,9,21,23,118
Friday,9,28,0,45
Friday,9,28,1,24
Friday,9,28,2,14
Friday,9,28,3,10
Friday,9,28,4,10
Friday,9,28,5,28
Friday,9,28,6,123
Friday,9,28,7,314
Friday,9,28,8,789
Friday,9,28,9,721
Friday,9,28,10,368
Friday,9,28,11,258
Friday,9,28,12,336
Friday,9,28,13,288
Friday,9,28,14,285
Friday,9,28,15,348
Friday,9,28,16,571
Friday,9,28,17,846
Friday,9,28,18,1172
Friday,9,28,19,213
Friday,9,28,20,152
Friday,9,28,21,161
Friday,9,28,22,154
Friday,9,28,23,137
Friday,10,5,0,45
Friday,10,5,1,27
Friday,10,5,2,19
Friday,10,5,3,2
Friday,10,5,4,3
Friday,10,5,5,34
Friday,10,5,6,135
Friday,10,5,7,322
Friday,10,5,8,828
Friday,10,5,9,835
Friday,10,5,10,562
Friday,10,5,11,323
Friday,10,5,12,308
Friday,10,5,13,72
Friday,10,5,14,213
Friday,10,5,15,347
Friday,10,5,16,538
Friday,10,5,17,860
Friday,10,5,18,634
Friday,10,5,19,355
Friday,10,5,20,251
Friday,10,5,21,170
Friday,10,5,22,144
Friday,10,5,23,83
Friday,10,12,0,55
Friday,10,12,1,24
Friday,10,12,2,17
Friday,10,12,3,5
Friday,10,12,4,14
Friday,10,12,5,32
Friday,10,12,6,121
Friday,10,12,7,349
Friday,10,12,8,826
Friday,10,12,9,716
Friday,10,12,10,360
Friday,10,12,11,266
Friday,10,12,12,312
Friday,10,12,13,317
Friday,10,12,14,276
Friday,10,12,15,314
Friday,10,12,16,532
Friday,10,12,17,808
Friday,10,12,18,695
Friday,10,12,19,396
Friday,10,12,20,220
Friday,10,12,21,166
Friday,10,12,22,127
Friday,10,12,23,88
Friday,10,19,0,55
Friday,10,19,1,26
Friday,10,19,2,14
Friday,10,19,3,6
Friday,10,19,4,8
Friday,10,19,5,42
Friday,10,19,6,106
Friday,10,19,7,340
Friday,10,19,8,749
Friday,10,19,9,759
Friday,10,19,10,354
Friday,10,19,11,293
Friday,10,19,12,299
Friday,10,19,13,293
Friday,10,19,14,313
Friday,10,19,15,305
Friday,10,19,16,599
Friday,10,19,17,851
Friday,10,19,18,683
Friday,10,19,19,361
Friday,10,19,20,214
Friday,10,19,21,164
Friday,10,19,22,120
Friday,10,19,23,102
Friday,10,26,0,28
Friday,10,26,1,29
Friday,10,26,2,20
Friday,10,26,3,6
Friday,10,26,4,10
Friday,10,26,5,32
Friday,10,26,6,120
Friday,10,26,7,309
