day_name,month,day,hour,demand
Friday,8,10,23,21
Friday,8,17,0,3
Friday,8,17,1,3
Friday,8,17,2,3
Friday,8,17,3,2
Friday,8,17,5,2
Friday,8,17,6,11
Friday,8,17,7,76
Friday,8,17,8,51
Friday,8,17,10,60
Friday,8,17,11,76
Friday,8,17,12,87
Friday,8,17,13,57
Friday,8,17,14,78
Friday,8,17,15,91
Friday,8,17,16,112
Friday,8,17,17,266
Friday,8,17,19,68
Friday,8,17,20,44
Friday,8,17,21,24
Friday,8,17,22,23
Friday,8,17,23,23
Friday,8,24,0,8
Friday,8,24,1,3
Friday,8,24,2,2
Friday,8,24,3,1
Friday,8,24,4,2
Friday,8,24,5,4
Friday,8,24,6,14
Friday,8,24,7,26
Friday,8,24,8,60
Friday,8,24,9,58
Friday,8,24,10,48
Friday,8,24,11,98
Friday,8,24,13,67
Friday,8,24,14,62
Friday,8,24,15,81
Friday,8,24,16,87
Friday,8,24,17,284
Friday,8,24,19,46
Friday,8,24,20,32
Friday,8,24,21,21
Friday,8,24,22,29
Friday,8,24,23,20
Friday,8,31,0,3
Friday,8,31,2,1
Friday,8,31,3,2
Friday,8,31,4,1
Friday,8,31,5,4
Friday,8,31,7,23
Friday,8,31,8,42
Friday,8,31,9,124
Friday,8,31,11,118
Friday,8,31,13,53
Friday,8,31,14,87
Friday,8,31,15,81
Friday,8,31,16,78
Friday,8,31,17,83
Friday,8,31,18,136
Friday,8,31,20,24
Friday,8,31,21,24
Friday,8,31,22,29
Friday,8,31,23,8
Friday,9,7,0,5
Friday,9,7,1,2
Friday,9,7,2,1
Friday,9,7,3,1
Friday,9,7,4,2
Friday,9,7,5,4
Friday,9,7,6,10
Friday,9,7,7,33
Friday,9,7,8,65
Friday,9,7,9,67
Friday,9,7,10,38
Friday,9,7,11,47
Friday,9,7,12,53
Friday,9,7,13,80
Friday,9,7,14,67
Friday,9,7,15,71
Friday,9,7,16,92
Friday,9,7,17,125
Friday,9,7,18,111
Friday,9,7,19,67
Friday,9,7,20,27
Friday,9,7,21,23
Friday,9,7,22,17
Friday,9,7,23,20
Friday,9,14,0,6
Friday,9,14,1,4
Friday,9,14,4,1
Friday,9,14,5,1
Friday,9,14,6,12
Friday,9,14,7,74
Friday,9,14,9,61
Friday,9,14,10,45
Friday,9,14,11,43
Friday,9,14,12,100
Friday,9,14,14,48
Friday,9,14,15,69
Friday,9,14,16,123
